Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
ROVEL (Henri), élève de Cormon;, né à St-Dié. Saint-Dié.;675;Le service obligatoire.;;
ROVEL (Henri), élève de Cormon;, né à St-Dié. Saint-Dié.;676;Un coin de Mirecourt.;;
ROVEL (Henri), élève de Cormon;, né à St-Dié. Saint-Dié.;677;Sur la plage.;;
ROVEL (Henri), élève de Cormon;, né à St-Dié. Saint-Dié.;678;Village des Vosges.;;
ROYER (Henri),; élève de Lefebvre et F. Flameng, né à Nancy. Nancy, 1, rue de la Salpétrière.;679;Scènes de la vie de Bacchus.;;
ROYER (Henri),; élève de Lefebvre et F. Flameng, né à Nancy. Nancy, 1, rue de la Salpétrière.;680;Le Vieux.;;
ROYER (Henri),; élève de Lefebvre et F. Flameng, né à Nancy. Nancy, 1, rue de la Salpétrière.;681;Aux champs.;;
ROYER (Henri),; élève de Lefebvre et F. Flameng, né à Nancy. Nancy, 1, rue de la Salpétrière.;682;Etude.;;
ROYER (Henri),; élève de Lefebvre et F. Flameng, né à Nancy. Nancy, 1, rue de la Salpétrière.;683;Etude de tête.;;
ROYER (Henri),; élève de Lefebvre et F. Flameng, né à Nancy. Nancy, 1, rue de la Salpétrière.;684;Portrait du Docteur C.;;
ROYER (Henri),; élève de Lefebvre et F. Flameng, né à Nancy. Nancy, 1, rue de la Salpétrière.;685;Etude.;;
ROY (Emile), élève de Huel;, né à Nancy. Nancy, 13, rue de l’Atrie.;686;Portrait de Mlle M. R...;;
ROY (Emile), élève de Huel;, né à Nancy. Nancy, 13, rue de l’Atrie.;687;Un noble ;(d’après une gravure de J. Callot).;
ROY (Mlle Maria),; élève de l’Ecole des BeauxArts, né à Nancy. Nancy.;688;Roses trémières, panneau.;panneau.;
SACHY (Henri DE),; élève de P. Colin, A. Cabanel, E. Dubof et Mazerolles, né à Paris. Paris, Ecole des Beaux-Arts.;689;Au printemps.;;
SAGE (Mlle Gabrielle LE);, née à Paris. Paris, 57, rue Pigalle.;690;Pivoines et Aubépine.;;
SAGE (Mlle Gabrielle LE);, née à Paris. Paris, 57, rue Pigalle.;691;Pensées.;;
SAIN (Paul),; élève de Guilbert d’Anelle et Gé rôme, né à Avignon. Paris, 33, rue du Dragon.;692;Le châtaigneraie du château de Corbeville.;;
SAIN (Paul),; élève de Guilbert d’Anelle et Gé rôme, né à Avignon. Paris, 33, rue du Dragon.;693;Le Pont Saint-Bénézet à Avignon.;;
SAIN (Paul),; élève de Guilbert d’Anelle et Gé rôme, né à Avignon. Paris, 33, rue du Dragon.;694;Le Rhône à Avignon.;;
SARAZIN (Mlle Marguerite),; élève de Damas, née à Charleville. Charleville, 8, rue Victor-Cousin.;695;Reines-Marguerite.;;
SARAZIN (Mlle Marguerite),; élève de Damas, née à Charleville. Charleville, 8, rue Victor-Cousin.;696;Pommes et chrysanthèmes.;;
SARAZIN (Mlle Marguerite),; élève de Damas, née à Charleville. Charleville, 8, rue Victor-Cousin.;697;Giroflées et narcisses.;;
SARAZIN (Mlle Marguerite),; élève de Damas, née à Charleville. Charleville, 8, rue Victor-Cousin.;698;Fleurs de Nice.;;
SCHIFF(J.-M.),; élève de l’Ecole des Beaux-Arts de Nancy, né à Rettel-les-Siercke (Lorraine). Nancy, 3 bis, rue de La Salle.;699;Portrait de M. A...;;
SCHIFF(J.-M.),; élève de l’Ecole des Beaux-Arts de Nancy, né à Rettel-les-Siercke (Lorraine). Nancy, 3 bis, rue de La Salle.;700;id. M. M...;;
SCHIFF(J.-M.),; élève de l’Ecole des Beaux-Arts de Nancy, né à Rettel-les-Siercke (Lorraine). Nancy, 3 bis, rue de La Salle.;701;id. Mme H...;;
SCHIFF(J.-M.),; élève de l’Ecole des Beaux-Arts de Nancy, né à Rettel-les-Siercke (Lorraine). Nancy, 3 bis, rue de La Salle.;702;id. MlIe D...;;
SCHIFF(J.-M.),; élève de l’Ecole des Beaux-Arts de Nancy, né à Rettel-les-Siercke (Lorraine). Nancy, 3 bis, rue de La Salle.;703;Etude.;;
SCITIVAUX (Tancrède DE);, né à Nancy. Château de Remicourt, près Nancy.;704;Antibes.;;
SEMENOWSKY.;Paris, 7, rue Laffitte.;705;Etude.;;
SEMENOWSKY.;Paris, 7, rue Laffitte.;706;Etude.;;
SERRIER (Georges),; élève de Gagliardini, né à Thionville. Paris, 65, rue de Douai.;707;- Le soir, bords de l’Allier.;bords de l’Allier.;
SERRIER (Georges),; élève de Gagliardini, né à Thionville. Paris, 65, rue de Douai.;708;Le Morin, à Crécy-en-Brie.;à Crécy-en-Brie.;
SILVA (Lucien-Lopes),; élève de F. Pélez, A. Maignan et J. Lefèvre, né à Paris. Paris, 25, rue Condorcet.;709;Farniente.;;
SILVA (Lucien-Lopes),; élève de F. Pélez, A. Maignan et J. Lefèvre, né à Paris. Paris, 25, rue Condorcet.;710;Bouquet des champs.;;
SILVA (Lucien-Lopes),; élève de F. Pélez, A. Maignan et J. Lefèvre, né à Paris. Paris, 25, rue Condorcet.;711;Tête de femme de Louis XV.;;
SILVA (Lucien-Lopes),; élève de F. Pélez, A. Maignan et J. Lefèvre, né à Paris. Paris, 25, rue Condorcet.;712;Jeune fille.;;
SIMON (J.-B.-Léon),; élève de A. Migette, né à Metz. Metz, 3, rue du Moyen-Pont.;713;Prairies du Mouzon ;(Vosges).;
SIMON (J.-B.-Léon),; élève de A. Migette, né à Metz. Metz, 3, rue du Moyen-Pont.;714;Vieille futaie ;(Meuse).;
SIMON (J.-B.-Léon),; élève de A. Migette, né à Metz. Metz, 3, rue du Moyen-Pont.;715;A la pointe des Poulains ;(Belle-Isle).;
SIMON (J.-B.-Léon),; élève de A. Migette, né à Metz. Metz, 3, rue du Moyen-Pont.;716;Près Neufchâteau ;(Vosges).;
SIMON (J.-B.-Léon),; élève de A. Migette, né à Metz. Metz, 3, rue du Moyen-Pont.;717;Ruisseau de Vallières, près Metz.;près Metz.;
SIMON (Pierre-Paul),; élève de L. O. Merson, né à Reims. Reims, 53, rue de l’Université.;718;Jeune Romaine ;(étude).;
SIMON (Pierre-Paul),; élève de L. O. Merson, né à Reims. Reims, 53, rue de l’Université.;719;Matelot pêcheur d’Etretat.;;
SIMONNET (Lucien),; elève de G. Boulanger, et de Nozal et J. Lefebvre, né à Paris. Sèvres, 3, rue des Rouillis.;720;Moutons sur la falaise.;;
SIMONNET (Lucien),; elève de G. Boulanger, et de Nozal et J. Lefebvre, né à Paris. Sèvres, 3, rue des Rouillis.;721;Le côteau de la Monesse.;;
SIMONNET (Lucien),; elève de G. Boulanger, et de Nozal et J. Lefebvre, né à Paris. Sèvres, 3, rue des Rouillis.;722;Le ruisseau.;;
SOHET (Raoul),; élève de L. Gérôme et J. Bas- tien Lepage, né à Damvillers (Meuse). Nancy, 28, rue des Dominicains.;723;Saint-Jean-Baptiste, étude.;étude.;
SOHET (Raoul),; élève de L. Gérôme et J. Bas- tien Lepage, né à Damvillers (Meuse). Nancy, 28, rue des Dominicains.;724;Paysage. id.;;
SOHET (Raoul),; élève de L. Gérôme et J. Bas- tien Lepage, né à Damvillers (Meuse). Nancy, 28, rue des Dominicains.;725;Portrait de Mme S...;;
SPRAUEL (Jules);, né à Strasbourg. Nancy, rue de Mon-Désert.;726;Coin de Méréville.;;
SYNDON (Léon), élève de Bonnat;, né à Cahors. Paris, 55, due du Cherche-Midi.;727;Poires ;(nature morte).;
TAUZIN (Louis);, né à Bordeaux. Bellevue (S.-et-O.), 4, sentier des Pierres-Blanches.;728;Les roches de Vallières, à Royan.;à Royan.;
TAUZIN (Louis);, né à Bordeaux. Bellevue (S.-et-O.), 4, sentier des Pierres-Blanches.;729;Sous bois à Meudon.;;
