Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
Stuart DAVIS ;(EE. UU. 1894 —);12;Vistos — 1951. 101,6x132. The Downtown Gal¬ lery, New York;— 1951. 101,6x132. The Downtown Gallery, New York;
Max ERNEST ;(Alemanha, 1891 —);13;Núpcias quimicas — 1947-48. 66x150,4 M. Knoe- dler & Co., New York;— 1947-48. 66x150,4 M. Knoe- dler & Co., New York;
Max ERNEST ;(Alemanha, 1891 —);14;A festa dos deuses — 1948. 106,6x152,4. M. Knoedler & Co., New York;— 1948. 106,6x152,4. M. Knoedler & Co., New York;
Philip EVERGOOD ;(EE. UU. 1901 —);15;Natureza morta — 1944. 88,9x102. Sr. e Sra. Hudson D. Walker, New York.;— 1944. 88,9x102. Sr. e Sra. Hudson D. Walker, New York.;
Philip EVERGOOD ;(EE. UU. 1901 —);16;Os homens e a montanha — 1945. Herbert Small, Takoma Park, Maryland;— 1945. Herbert Small, Takoma Park, Maryland;
Philip EVERGOOD ;(EE. UU. 1901 —);17;Alegria em New Jersey — 1951. 88,9x102. A.C.A. Gallery, New York;— 1951. 88,9x102. A.C.A. Gallery, New York;
Lyonel FEININGER ;(EE. UU. 1871 —);18;A costa do nunca-mais — 1944. 48,2x81. Curt Valentin, New York;— 1944. 48,2x81. Curt Valentin, New York;
Lyonel FEININGER ;(EE. UU. 1871 —);19;A ilha distante — 1946-47. 50,8x88,9. The Buchholz Gallery, New York;— 1946-47. 50,8x88,9. The Buchholz Gallery, New York;
Lyonel FEININGER ;(EE. UU. 1871 —);20;“Vita nova” — 1947. 79,9x100,3. The Buchholz Gallery, New York;— 1947. 79,9x100,3. The Buchholz Gallery, New York;
Fritz GLARNER ;(Suíça, 1899—);21;Pintura relacionai — Tondo — n.° 20 — 1950-51. óleo s/masonite. Diâmetro 121. Rose Fried Gal¬ lery, New York;— Tondo — n.° 20 — 1950-51. óleo s/masonite. Diâmetro 121. Rose Fried Gallery, New York;
Fritz GLARNER ;(Suíça, 1899—);22;Pintura relacional — 1950. 147x122. Rose Fried Gallery, New York;— 1950. 147x122. Rose Fried Gallery, New York;
Morris GRAVES ;(EE. UU. 1910 —);23;Pássaro cego — 1950. gouache. 76,5x68,5. Mu¬ seum of Modern Art, New York;— 1950. gouache. 76,5x68,5. Museum of Modern Art, New York;
Morris GRAVES ;(EE. UU. 1910 —);24;Pinheiro jovem e alegre — 1944. aquarela e gouache. 136x68,5. Museum of Modern Art, New York;— 1944. aquarela e gouache. 136x68,5. Museum of Modern Art, New York;
Morris GRAVES ;(EE. UU. 1910 —);25;“Bouquet” enfeitiçado — 1944. têmpera s/papel arrôs. 76,5x70. Willard Gallery, New York;— 1944. têmpera s/papel arrôs. 76,5x70. Willard Gallery, New York;
George GROSZ ;(Alemanha, 1893 —);26;O sobrevivente — 1944. 96,5x80. Associated American Artists Galleries, New York;— 1944. 96,5x80. Associated American Artists Galleries, New York;
George GROSZ ;(Alemanha, 1893 —);27;Um pedaço de meu mundo, n.° 1 — 1944. 96,5x137. Associated American Artists Galleries, New York;n.° 1 — 1944. 96,5x137. Associated American Artists Galleries, New York;
George GROSZ ;(Alemanha, 1893 —);28;O pintor do buraco, segunda versão — 1948. 51x71. Associated American Artists Galleries, New York;segunda versão — 1948. 51x71. Associated American Artists Galleries, New York;
Edward HOPPER ;(EE. UU. 1882 —);29;Posto de gasolina — 1940. 67x102. Fundo Sra. Simon Guggenheim.;— 1940. 67x102. Fundo Sra. Simon Guggenheim.;
Edward HOPPER ;(EE. UU. 1882 —);30;Madrugada em Pennsylvania — 1942. 62x112. Sr. e Sra. Otto L. Spaeth, New York;— 1942. 62x112. Sr. e Sra. Otto L. Spaeth, New York;
Edward HOPPER ;(EE. UU. 1882 —);31;Manhã no Cabo Cod — 1950. 86,3x102. Frank K.M. Hehn Galleries, New York;— 1950. 86,3x102. Frank K.M. Hehn Galleries, New York;
Willem de KOONING ;(Holanda, 1904 —);32;Atico — 1949-50. 156x204. Egan Gallery, New York;— 1949-50. 156x204. Egan Gallery, New York;
Yasuo KUNIYOSHI ;(Japão, 1893 —);33;Cavalo sem cabeça querendo pular — 1945. 145x89. Museum of the Granbrook Academy of Art;— 1945. 145x89. Museum of the Granbrook Academy of Art;
Yasuo KUNIYOSHI ;(Japão, 1893 —);34;Peixe voador — 1930. 76x127. The Downtown Gallery, New York;— 1930. 76x127. The Downtown Gallery, New York;
Jacob LAWRENCE ;(EE. UU. 1917 —);35;Pedras tumulares — 1942, gouache s/papel.;— 1942, gouache s/papel.;
Jacob LAWRENCE ;(EE. UU. 1917 —);36;Sedação — 1950. caseina. 79x58. Museum of Modern Art, New York;— 1950. caseina. 79x58. Museum of Modern Art, New York;
Jacob LAWRENCE ;(EE. UU. 1917 —);37;Cortiço — 1951. caseina s/papel. 63,5x55. The Downtow Gallery, New York;— 1951. caseina s/papel. 63,5x55. The Downtow Gallery, New York;
Jack LEVINE ;(EE. UU. 1915 —);38;O banquete — 1941. 64x76. Sr. E Sra. Roy R. Neuberger, New York;— 1941. 64x76. Sr. E Sra. Roy R. Neuberger, New York;
Jack LEVINE ;(EE. UU. 1915 —);39;Apteka — 1947. 102x152. The Downtown Gallery, New York;— 1947. 102x152. The Downtown Gallery, New York;
Jack LEVINE ;(EE. UU. 1915 —);40;O fim da linha — 1948. 91x61. The Phillips Gal¬ lery, Washington, D.C.;— 1948. 91x61. The Phillips Gallery, Washington, D.C.;
Loren MACIVER ;(EE. UU. 1905 —);41;Planta — 1945. 102x66. Sr. e Sra. James Thrall Soby, Farmington, Conn.;— 1945. 102x66. Sr. e Sra. James Thrall Soby, Farmington, Conn.;
Loren MACIVER ;(EE. UU. 1905 —);42;Emmet Kelly — 1947. 102x81. Sr. e Sra. Roy R. Neuberger, New York;— 1947. 102x81. Sr. e Sra. Roy R. Neuberger, New York;
Loren MACIVER ;(EE. UU. 1905 —);43;Carvão e madeira — 1949. 102x157. Pierre Ma¬ tisse Gallery, New York;— 1949. 102x157. Pierre Matisse Gallery, New York;
John MARIN ;(EE. UU. 1870 —);44;Movimento, bote, mar, rochedos e céu, Maine —;bote, mar, rochedos e céu, Maine —;
John MARIN ;(EE. UU. 1870 —);1941;aquarela s/papel. 39x55,5. The Whitney Museum of American Art, New York;. The Whitney Museum of American Art, New York;
John MARIN ;(EE. UU. 1870 —);45;Adirondacks no baixo lago Ausable — 1947. aqua¬ rela. 37x51. The Phillips Gallery, Washington D.C.;— 1947. aquarela. 37x51. The Phillips Gallery, Washington D.C.;
John MARIN ;(EE. UU. 1870 —);46;Movimento em cinza, verde, vermelho n.° 2 —;verde, vermelho n.° 2 —;
John MARIN ;(EE. UU. 1870 —);1949;56x71. The Downtown Gallery, New York;New York;
Reginald MARSH ;(França, 1898 —);47;Nadando para além do mercado ocidental de Washington — 1940. aquarela. 68x102. Albright Art Gallery, Buffalo;— 1940. aquarela. 68x102. Albright Art Gallery, Buffalo;
Reginald MARSH ;(França, 1898 —);48;Experimentada pelos olhos — 1944. aguada s/papel.;— 1944. aguada s/papel.;
Reginald MARSH ;(França, 1898 —);49;Esportes aquáticos — 148. aguada s/papel. 42x76. Frank K.M. Rehn Galleries, New York;— 148. aguada s/papel. 42x76. Frank K.M. Rehn Galleries, New York;
Georgia O’KEEFE ;(EE. UU. 1887 —);50;Penhascos além do Abiquiu — 1943 . 76x61. Walter H. Lurie, New York;— 1943 . 76x61. Walter H. Lurie, New York;
Georgia O’KEEFE ;(EE. UU. 1887 —);51;Papoulas — 1950. 91x76. The Downtown Gallery, New York;— 1950. 91x76. The Downtown Gallery, New York;
Irene Rice Pereira ;(EE. UU. 1907 —);52;“Two up' — 1946. 86x107. Durlacher Brothers, New York;— 1946. 86x107. Durlacher Brothers, New York;
Irene Rice Pereira ;(EE. UU. 1907 —);53;“ Transflux' — 1948 “Mixed media’ s/dois pianos de vidro. 27x57. Durlacher Brothers, New York.;— 1948 “Mixed media’ s/dois pianos de vidro. 27x57. Durlacher Brothers, New York.;
Irene Rice Pereira ;(EE. UU. 1907 —);54;Progressões em vermelho — 1950. 91x107. Dur¬ lacher Brothers, New York;— 1950. 91x107. Durlacher Brothers, New York;
Alton PICKENS ;(EE. UU. 1917 —);55;A boneca azul — 1942. 109x89. Museum of Mo¬ dern Art, New York;— 1942. 109x89. Museum of Modern Art, New York;
Alton PICKENS ;(EE. UU. 1917 —);56;O ator e sua familia. 109x89. The Burchholz Gallery, New York;New York;
Alton PICKENS ;(EE. UU. 1917 —);57;Carnaval — 1949. 137x101. Lincoln Kirstein, New York;— 1949. 137x101. Lincoln Kirstein, New York;
Jackson POLLOCK ;(EE. UU. 1912 —);58;Lucifer — 1947. 102x267. Betty Parson Gallery New York;— 1947. 102x267. Betty Parson Gallery New York;
Mark ROTHKO ;(Russia, 1903 —);59;Número 6 — 1951. 239x137 Betty Parsons Gal¬ lery, New York;New York;
Ben SHAHN ;(Russia, 1898 —);60;O cego tocador de acórdeão — 1945. têmpera.;— 1945. têmpera.;
