Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
BONNEFOY (Adrien-Adolphe);, né à Paris, élève de M. J.-P. Laurens, M. H. et méd. arg., Versailles, 1885 et 1889, méd. br., Lyon, 1893, et 1895, H.C., Chicago, 1893. — Rue de Bretonvilliers, 3, Paris.;65;Jeanne d’Arc. Une autre fois, elle entendit encore la voix, vit la clarté, mais, dans cette clarté, de nobles figures, dont l’une avait des ailes et semblait un sage prud’homme, il lui dit: « Jeanne, sois bonne, va au secours du roi de France et tu lui rendras son royaume ». Voir aux Dessins.;elle entendit encore la voix, vit la clarté, mais, dans cette clarté, de nobles figures, dont l’une avait des ailes et semblait un sage prud’homme, il lui dit: « Jeanne, sois bonne, va au secours du roi de France et tu lui rendras son royaume ». Voir aux Dessins.;
BONNEFOY (Henry);, né à Boulogne-sur-Mer, élève de. Léon Cogniet, méd. 3e cl., Paris, 1880, méd. 2° Cl., Paris, 1884 et 1889 E. L. — Rue Fontaine, n° 42, Paris.;66;On ferme.;;
BONNEFOY (Henry);, né à Boulogne-sur-Mer, élève de. Léon Cogniet, méd. 3e cl., Paris, 1880, méd. 2° Cl., Paris, 1884 et 1889 E. L. — Rue Fontaine, n° 42, Paris.;28;;;
;67. Retard.;67;Retard. BOUCHOR ;(Joseph-Félix), né à Paris, élève de MM. Benjamin Constant et Jules Lefebvre, M. H., Paris, 1888, méd. br., E. U. 1889, méd. 2e cl.,;
;67. Retard.;1892;H. C. — A Freneuse, par Elbeuf ;par Elbeuf (Seine Inférieure).;
;67. Retard.;68;En décembre ;(Freneuse).;
;69. Au passage de l’île (Freneuse).;69;Au passage de l’île ;(Freneuse). BOIGOURD (Auguste), né à Pont-Audemer, élève de Bellel , méd. br., Caen, 1873, méd. verm., Rouen,;
;69. Au passage de l’île (Freneuse).;1882;, méd. verm, gr. mod., Caen, 1825 , 3° méd., Evreux, 1886. A x. — Avenue du Plessis-la-Musse, à Chantenay-sur-Loire, près Nantes.;gr. mod., Caen, 1825 , 3° méd., Evreux, 1886. A x. — Avenue du Plessis-la-Musse, à Chantenay-sur-Loire, près Nantes.;
;70. Les blés dans le Roumois.;70;Les blés dans le Roumois. BOIGOURD ;(Mlle Cécile-Augustine), née à Pont-Audemer, élève de M. A. Bougourd, M. H., Boulogne sur-Mer, 187, méd, verm. de la Société des Amis des Arts. Rouen 1889. — Avenue du Plessis-la Musse, à Chantenay-sur-Loire, près Nantes.;
;70. Les blés dans le Roumois.;71;Pivoines.;;
;72. Coquelicots.;72;Coquelicots. BOURDON ;(Mlle Georgette), née à Elbeuf, élève de Mlle Mouchel. — Rue de Caudebec, 23, Elbeuf.;
;72. Coquelicots.;73;Chrysanthèmes ;(panneau décoratif).;
;74. Les parchemins.;74;Les parchemins. BOURGEOIS ;(Urbain), né à Nevers, élève de H. Flandrin et Cabanel, 1er second grand prix de Rome, 1867, méd. 3e cl., Paris, 1877 , méd.;
;74. Les parchemins.;2;° cl., 1880, méd. br., E. L. 1889, H. C. — Rue de l’Abbaye, 13, Paris.;1880, méd. br., E. L. 1889, H. C. — Rue de l’Abbaye, 13, Paris.;
;74. Les parchemins.;75;La vigilance.;;
;74. Les parchemins.;76;Sainte Madeleine.;;
BOURGOGNE (Pierre);, né à Paris, élève de Justin Lequien , H. C. — Rue de Branca, 32 ter, Sèvres (Seine-et-Oise).;77;Fleurs de printemps.;;
BOURGOGNE (Pierre);, né à Paris, élève de Justin Lequien , H. C. — Rue de Branca, 32 ter, Sèvres (Seine-et-Oise).;78;Premières fleurs;;
BOISQUET (Charles);, né à Paris, élève de MM. Julien Dupré et G. Laugée. — Rue de la Pompe, 7, Paris.;79;Un coin de falaise, à Trestraon ;à Trestraon (Côtes-du-Nord).;
BOISQUET (Charles);, né à Paris, élève de MM. Julien Dupré et G. Laugée. — Rue de la Pompe, 7, Paris.;80;Une route à Meudon ;(printemps).;
BOUTIGNNY (Jacques-Louis-Xavier);, né à Rouen, élève de MM. Lebel, et Zacharie. — Avenue du Mont-Riboudet, 246, Rouen.;81;Les coteaux de Canteleu ;(vue prise du Mont-Ribou- det.;
BOUTIGNNY (Jacques-Louis-Xavier);, né à Rouen, élève de MM. Lebel, et Zacharie. — Avenue du Mont-Riboudet, 246, Rouen.;82;Les premières feuilles, la rivière de Cailly, à Ba peaume-lès-Rouen.;à Ba peaume-lès-Rouen.;
BOITILLIÉ (Raphaël);, né à Rouen, élève de MM. Diogène Maillard et Truphème. — Rue du Faubourg-Saint-Martin, 5, Paris.;83;Le soir à Billancourt. Voir aux Dessins et à la Grarure;;
BOUTROUX (Mme veuve),; née Christine-Félicité du Villard), née à Paris, élève de M. Robert-Fleury, A x, 1895. — Rue Dulong, 10, Rouen.;84;Glaïeuls.;;
BOUTROUX (Mme veuve),; née Christine-Félicité du Villard), née à Paris, élève de M. Robert-Fleury, A x, 1895. — Rue Dulong, 10, Rouen.;85;Lilas. Voir aux Dessins.;;
BRANDE (Mlle. Marie-Rose-Emilie);, née à Orléans (Loiret), élève de M. J.-A. Langrand. — Rue des Jardins, Yvetot.;86;Melon et fruits.;;
