Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
;5. -— La Dame aux bijoux, étude.;5;-— La Dame aux bijoux, étude. Signé à droite : Gustave Courbet, ..67. Exposition particulière de 1867. T. — H. 0.81. L. 0.64. Appartient à M. Castagnary.;étude. Signé à droite : Gustave Courbet, ..67. Exposition particulière de 1867. T. — H. 0.81. L. 0.64. Appartient à M. Castagnary.;
;26. — Femme endormie, étude.;26;Femme endormie, étude. Signé à gauche : G. Courbet. T. — H. 0.70. L. 0.94.;étude. Signé à gauche : G. Courbet. T. — H. 0.70. L. 0.94.;
;27. — Une Dormeuse, tête d’étude.;27;Une Dormeuse, tête d’étude. Signé à gauche : G. Courbet. Sans date. T. — H. 0.57. L. 0.47. Appartient à M. Henri Hecht.;tête d’étude. Signé à gauche : G. Courbet. Sans date. T. — H. 0.57. L. 0.47. Appartient à M. Henri Hecht.;
;28. — Emiiius, cheval de course du haras de;28;Emiiius, cheval de course du haras de Saintes. Signé à gauche : Gustave Courbet. Le nom du cheval est écrit en haut, à gauche. Exposition particulière de 1867 : Émilius figure sur le catalogue avec la date de 1863. T. — H. 0.50, L. 0.60.;cheval de course du haras de Saintes. Signé à gauche : Gustave Courbet. Le nom du cheval est écrit en haut, à gauche. Exposition particulière de 1867 : Émilius figure sur le catalogue avec la date de 1863. T. — H. 0.50, L. 0.60.;
;29. — Le Petit poney écossais, étude.;29;Le Petit poney écossais, étude. Signé : G. Courbet. Exposition particulière de 1867. T. — H. 0.65. L. 0.81. Appartient à M. Henri Vion.;étude. Signé : G. Courbet. Exposition particulière de 1867. T. — H. 0.65. L. 0.81. Appartient à M. Henri Vion.;
;30. — La Liseuse.;30;La Liseuse. Signé à droite : G. Courbet. Sans date. T. — H. 0.60. L. 0.73. Appartient à M. Ad. Reitlinger.;;
;31. — Femme endormie.;31; Femme endormie. Sans signature ni date.  T. — H. 0.64. L. 0.;;
;32. — Femme nue endormie.;32; Femme nue endormie. Signé à gauche : ..58. Gustave Courbet. T. — H. 0.50. L. 0.65. Appartient à M. Bischoffsheim.;;
;33. — La Sorcière, copie d’après Franz;33;La Sorcière, copie d’après Franz Hals. Signé à gauche : ..69. G. Courbet. A droite, de la main du peintre, le mono¬ gramme de Franz Hals, avec la date 1645, et au¬ dessous : Aix-la-Chapelle. Cette copie a été faite d’après le tableau ori¬ ginal qui faisait partie de la galerie Suermondt. T. — H. 0.85. L. 0.69.;copie d’après Franz Hals. Signé à gauche : ..69. G. Courbet. A droite, de la main du peintre, le monogramme de Franz Hals, avec la date 1645, et audessous : Aix-la-Chapelle. Cette copie a été faite d’après le tableau original qui faisait partie de la galerie Suermondt. T. — H. 0.85. L. 0.69.;
;35. — Portrait de l’auteur.;35;Portrait de l’auteur. Signé à gauche, en bleu : 1842, Gustave Courbet. C’est par ce tableau que l’artiste a débuté au Salon de 1844. T. — H. 0.46. L. 0.56.;en bleu : 1842, Gustave Courbet. C’est par ce tableau que l’artiste a débuté au Salon de 1844. T. — H. 0.46. L. 0.56.;
;36 — L’Homme à la ceinture de cuir, por¬;36;L’Homme à la ceinture de cuir, por¬ trait du peintre jeune. Signé à gauche : Gustave Courbet. Exposition particulière de 1855. Ce portrait paraît être celui que le peintre, dans le catalogue de cette exposition, plaçait à la date de 1849, et désignait en ces termes T. — H. 1.00. L. 0.78. Acheté pour l’État à la vente du 9 dé¬ cembre 1881.;portrait du peintre jeune. Signé à gauche : Gustave Courbet. Exposition particulière de 1855. Ce portrait paraît être celui que le peintre, dans le catalogue de cette exposition, plaçait à la date de 1849, et désignait en ces termes T. — H. 1.00. L. 0.78. Acheté pour l’État à la vente du 9 décembre 1881.;
;55. — Le Ruisseau couvert.;55;Le Ruisseau couvert. Situé à gauche : G. Courbet, ..65. Exposition universelle de 1867. T. — H. 0.90. L. 1.30. Appartient au Musée du Luxembourg, sur le catalogue duquel il porte le titre de Ruisseau du Puits noir.;..65. Exposition universelle de 1867. T. — H. 0.90. L. 1.30. Appartient au Musée du Luxembourg, sur le catalogue duquel il porte le titre de Ruisseau du Puits noir.;
;56. — Le Ruisseau du Puits noir.;56;Le Ruisseau du Puits noir. Signé à gauche : G. Courbet, ..55. T. — H. 1.04. L. 1.38. Appartient à M. X.;..55. T. — H. 1.04. L. 1.38. Appartient à M. X.;
;57. — Le Ruisseau couvert.;57;Le Ruisseau couvert. Signé à droite : G. Courbet. T. — H. 0.91. L. 1.32. Appartient à M. Adolphe Reitlinger.;;
;58. — Le Château d’Ornans (Doubs).;58;Le Château d’Ornans ;(Doubs). Signé à droite : ..55. G. Courbet. Exposition universelle de 1855. Exposition particulière de 1867. T. — H. 0.80. L. 1.15. Appartient à M. Lutz.;
;59. — La Sieste pendant la saison des foins;59;La Sieste pendant la saison des foins Signé : G. Courbet, ..68. Exposition particulière de 1867. Salon de 1869. T. — H. 2.12. L. 2.73. Appartient à la Ville de Paris.;..68. Exposition particulière de 1867. Salon de 1869. T. — H. 2.12. L. 2.73. Appartient à la Ville de Paris.;
;60. — Le Naufrage dans la neige (monta¬;60;Le Naufrage dans la neige ;(montagnes du Jura). Signé à gauche : ..60. G. Courbet. Exposition particulière de 1867. T. — H. 1.38. L. 2.00.;
;61. — Remise des chevreuils au ruisseau de;61;Remise des chevreuils au ruisseau de Plaisirs-Fontaine ;(Doubs). Signé à gauche : ..66. Gustave Courbet. Salon de 1866. T. — H. 1.70. L. 2.05. Appartient à M. X.;
;62. — La Grotte de la Loue.;62;La Grotte de la Loue. Signé à gauche : G. Courbet. Sans date. T. — H. 0.68. L. 0.78. Appartient à M. A... N...;;
;63. — Paysage d’Interlaken.;63;Paysage d’Interlaken. Signé à gauche : ..69. G. Courbet. T. — H. 0.60. L. 0.72. Appartient à M. Lutz.;;
;64. — Les Saules.;64;Les Saules. Signé à droite : G. Courbet. Sans date. T. — H. 0.88. L. 1.20. Appartient à M. Bensusan.;;
;65. — Le Baigneur.;65;Le Baigneur. Signé à droite : ..62. Gustave Courbet. T. — H. 0.56. L. 0.72. Appartient à M. Brame.;;
;66. — Remise des chevreuils.;66;Remise des chevreuils. Signe à gauche : G. Courbet. Sans date. T. — H. 0.60. L. 0.71. Appartient à M. Monteaux.;;
;67. — La Source bleue (lac de Saint-Point).;67;La Source bleue ;(lac de Saint-Point). Signé droite : ..72. G. Courbet. T. — H. 0.81. L. 1.00. Appartient à M. Durand-Ruel.;
;68. — Remise de cerfs, effet de neige.;68;Remise de cerfs, effet de neige. Signé à gauche: G. Courbet. Sans date. T. — H. 0.68. L. 0.85. Appartient à M. A... N....;effet de neige. Signé à gauche: G. Courbet. Sans date. T. — H. 0.68. L. 0.85. Appartient à M. A... N....;
;69. — Les Roches d’Ornans.;69;Les Roches d’Ornans. Signé à gauche : ..96. G. Courbet. H. 0.72. L. 0.92. Appartient à M. Courtin.;;
;70. — Paysage, bords de la Loue.;70;Paysage, bords de la Loue. Signé à gauche : Gustave Courbet. Sans date. T. — H. 0.64. L. 0.80. Appartient à M. Lutz.;bords de la Loue. Signé à gauche : Gustave Courbet. Sans date. T. — H. 0.64. L. 0.80. Appartient à M. Lutz.;
;71. — Paysage, bords de la Loue.;71;Paysage, bords de la Loue. Signé à droite : G. Courbet. Sans date. T. — H. 0.70. L. 107. Appartient à M. Barbedienne.;bords de la Loue. Signé à droite : G. Courbet. Sans date. T. — H. 0.70. L. 107. Appartient à M. Barbedienne.;
;72. — Le Halage, bords de la Loue.;72;Le Halage, bords de la Loue. Signé à gauche : ..63. G. Courbet. T. — H. 0.63. L. 0.80. Appartient à M. Lutz.;bords de la Loue. Signé à gauche : ..63. G. Courbet. T. — H. 0.63. L. 0.80. Appartient à M. Lutz.;
;73. — Le Rut.;73;Le Rut. Signé à droite : G. Courbet. Sans date. T. — H. 0.45. L. 0.54. Appartient à M. Fourquet.;;
;74. — Remise de chevreuils.;74;Remise de chevreuils. Signé à droite : G. Courbet. T. — H. 0.81. L. 1.00. Appartient à M. Détrimont.;;
;75. — Le Puits noir.;75;Le Puits noir. Signé à gauche : G. Courbet. Sans date. T. — H. 0.71. L. 0.90. Appartient à M. Bensusan.;;
;76. — Paysage de Saintonge.;76;Paysage de Saintonge. Signé à gauche : ..62. Gustave Courbet. T. — H. 0.64. L. 0.90. Appartient à M. D... M....;;
;77. — Le Parc de Rochemont.;77;Le Parc de Rochemont. Signé à droite : ..62. Gustave Courbet. Exposition particulière de 1867. T. — H. 0.83. L. 1.10. Appartient à M. Étienne Baudry.;;
;78. — Paysage des alpes.;78;Paysage des alpes. Signé à gauche : G. Courbet. Sans date. T. — H. 0.37. L. 0.45. Appartient à M. de Salverte.;;
;79. — Paysage avec cascade.;79;Paysage avec cascade. Signé à gauche: G. C. 1846. Sans date. T.— H. 0.41. L. 0.66. Appartient à M. Henri Hecht.;;
;80. — La Dent de Jaman.;80;La Dent de Jaman. Signé à gauche : G. Courbet. T. — H. 0.47. L. 0.61.;;
;81. — Le Château de Chillon.;81;Le Château de Chillon. Signé à gauche : ..73. G. Courbet. T. — H. 0.86. L. 1.21.;;
;82. — Sous bois.;82;Sous bois. Signé à gauche : G. Courbet. Sans date. T. — H. 0.46. L. 0.55. Appartient à M. Luquet.;;
;83. — L’Affût.;83;L’Affût. Signé à gauche : G. Courbet. Sans date. T. — H. 0.50. L. 0.69. Appartient à M. Faure, de l’Opéra.;de l’Opéra.;
;83. — L’Affût.;5;;;
;129. — Champignons.;129; Champignons. Signé à gauche : ..72. G. Courbet. A droite, de la main du peintre, on lit la dé¬ dicace : « A M. Ordinaire. » T. — H. 0.61. L. 0.65. Appartient au Dr Ordinaire.;de la main du peintre, on lit la dédicace : « A M. Ordinaire. » T. — H. 0.61. L. 0.65. Appartient au Dr Ordinaire.;
;130. — Truite.;130;Truite. Signé à gauche : ..71. G. Courbet, In vinculis faciebat. T. — H. 0.52. L. 0.85. Appartient à M. Pasteur.;In vinculis faciebat. T. — H. 0.52. L. 0.85. Appartient à M. Pasteur.;
;131. — L’Homme à la pipe, portrait de l’au¬;131;L’Homme à la pipe, portrait de l’au¬ teur. Crayon noir. Signe à gauche : G. Courbet. H. 0.29. L. 0.21. Appartient à Mme ve Daumier.;portrait de l’auteur. Crayon noir. Signe à gauche : G. Courbet. H. 0.29. L. 0.21. Appartient à Mme ve Daumier.;
;132. — Jeune fille à la guitare, rêverie (por¬;132;Jeune fille à la guitare, rêverie ;rêverie (portrait de Mlle Zélie Courbet.) Crayon noir. Signé à gauche : G. C. Exposition particulière de 1855, où il était inscrit au catalogue avec la date de 1847. Exposition particulière de 1867. H. 0.45. L. 0.29.;
;133. — Paysage.;133;Paysage. Crayon noir. Signé à droite : Gustave Courbet. ..58. H. 0.24. L. 0.23. Appartient à M. Fourcaud.;;
;134. — Portrait de M. Urbain Cuenot.;134;Portrait de M. Urbain Cuenot. Crayon noir. H. 0.42. L. 0.39.;;
;135. — Le Peintre à son chevalet.;135;Le Peintre à son chevalet. Crayon noir. Exposition particulière de 1855, où il était inscrit au catalogue avec la date de 1848. Exposition particulière de 1867. H. 0.5. L. 0.33.;où il était inscrit au catalogue avec la date de 1848. Exposition particulière de 1867. H. 0.5. L. 0.33.;
;136. — Jeune homme assis, étude.;136;Jeune homme assis, étude. Crayon noir. H. 0.45. L. 0.34.;étude. Crayon noir. H. 0.45. L. 0.34.;
;137. — Portrait de M. Promayet.;137;Portrait de M. Promayet. Crayon noir. Signé à gauche : G. C. 1847. H. 0.31. L. 0.24. Appartient à M. Antonin Proust.;;
;138. — Le Fumeur, profil.;138;Le Fumeur, profil. Crayon noir. Signé à gauche : G. C. H. 0.19. L. 0.14.;profil. Crayon noir. Signé à gauche : G. C. H. 0.19. L. 0.14.;
;139. — Portrait de l’auteur.;139;Portrait de l’auteur. Crayon noir. Signé à gauche : ..48. G. Courbet. H. 0.26. L. 0.21. Appartient à M. D... M....;;
;140. — Au cabaret.;140;Au cabaret. Crayon noir. Signé à gauche : G. Courbet. H, 0.46. L. 0.59. Appartient à M. Théodore Duret.;0.46. L. 0.59. Appartient à M. Théodore Duret.;
;141. — Les Femmes dans les blés.;141;Les Femmes dans les blés. Crayon noir. Signé à droite : G. Courbet 1855. Exposition particulière de 1867. H. 0.48. L. 0.56;;
;142. — Tête d’homme.;142;Tête d’homme. Crayon noir. H. 0.28. L. 0.20.;;
;143. — Intérieur de forêt.;143;Intérieur de forêt. Crayon noir. H. 0.24. L. 0.18.;;
;144. — Peintre avec sa palette.;144;Peintre avec sa palette. Crayon noir. H. 0.40. L. 0.27.;;
;145. — Tête d’étude.;145;Tête d’étude. Crayon noir. Signé à droite : G. Courbet, 1847. H. 0.49. L. 0.39. Appartient à M. Beillet.;1847. H. 0.49. L. 0.39. Appartient à M. Beillet.;
